prediction_source,cod_linha,hour,pred_atraso_aproximado_min,real_atraso_aproximado_min,n_registros
llama_3_3_70b_v2_retry2,18,23,3.7674875335727287,8.841679894179894,6
llama_3_3_70b_v2_retry2,621,22,3.1672638211346342,4.133712121212121,11
llama_3_3_70b_v2_retry2,370,23,2.8611825955908885,4.041666666666667,10
llama_3_3_70b_v2_retry2,144,17,2.8593872169057923,1.3998611111111112,12
llama_3_3_70b_v2_retry2,619,23,2.849527571930498,4.395701058201058,6
llama_3_3_70b_v2_retry2,821,23,2.80590996092797,8.088888888888889,6
llama_3_3_70b_v2_retry2,806,23,2.793215071952857,1.9334866767219707,17
llama_3_3_70b_v2_retry2,359,23,2.7706052115679882,1.057936507936508,6
llama_3_3_70b_v2_retry2,214,21,2.7684702084394766,8.79861111111111,6
llama_3_3_70b_v2_retry2,629,23,2.6780565099194518,2.7537037037037035,9
llama_3_3_70b_v2_retry2,630,21,2.6737544742505057,8.156527777777777,6
llama_3_3_70b_v2_retry2,621,23,2.666065420469984,3.281944444444444,10
llama_3_3_70b_v2_retry2,150,18,2.6368926746586627,2.1783333333333332,5
llama_3_3_70b_v2_retry2,122,23,2.6134117857437245,0.5676455026455026,21
llama_3_3_70b_v2_retry2,378,22,2.576640327992782,3.8544444444444443,10
llama_3_3_70b_v2_retry2,635,23,2.5329938851430986,1.3497023809523807,8
llama_3_3_70b_v2_retry2,353,22,2.475341586784739,7.118241963452048,7
llama_3_3_70b_v2_retry2,351,23,2.43076066810672,2.0807142857142855,10
llama_3_3_70b_v2_retry2,206,22,2.4271388191966636,1.893231292517007,7
llama_3_3_70b_v2_retry2,626,23,2.426036702581329,0.6174074074074074,9
llama_3_3_70b_v2_retry2,881,23,2.395037107752419,2.3605392156862743,17
llama_3_3_70b_v2_retry2,524,20,2.358714364229376,1.4714285714285715,7
llama_3_3_70b_v2_retry2,433,22,2.345607731272648,11.223809523809523,7
llama_3_3_70b_v2_retry2,815,23,2.3201051858117108,1.5653354741019214,16
llama_3_3_70b_v2_retry2,353,23,2.3181209417072335,7.630991285403051,6
llama_3_3_70b_v2_retry2,326,23,2.3067898200588033,2.0221024346024348,9
llama_3_3_70b_v2_retry2,632,22,2.3053928871032903,6.047222222222222,6
llama_3_3_70b_v2_retry2,500,23,2.3001101326067395,0.7289682539682543,7
llama_3_3_70b_v2_retry2,342,20,2.2804323507274473,4.776666666666666,10
llama_3_3_70b_v2_retry2,744,21,2.2796500607968704,0.0,6
llama_3_3_70b_v2_retry2,630,23,2.2747434837589977,2.4746666666666663,5
llama_3_3_70b_v2_retry2,959,22,2.2741109856485586,4.575,6
llama_3_3_70b_v2_retry2,214,22,2.250090046397669,3.4910493827160494,9
llama_3_3_70b_v2_retry2,804,23,2.244435432438008,5.453009259259258,6
llama_3_3_70b_v2_retry2,643,21,2.2060045836026867,2.6447916666666664,8
llama_3_3_70b_v2_retry2,213,22,2.1911941630976073,5.783585858585858,11
llama_3_3_70b_v2_retry2,138,22,2.1358877024408445,5.246291666666667,10
llama_3_3_70b_v2_retry2,628,23,2.1224018752706546,12.46824074074074,6
llama_3_3_70b_v2_retry2,832,23,2.098730050389115,1.2143055555555555,10
llama_3_3_70b_v2_retry2,619,22,2.0905823662494267,2.015698653198653,11
llama_3_3_70b_v2_retry2,860,20,2.0438621396048786,7.623333333333332,5
llama_3_3_70b_v2_retry2,334,22,1.978635243795791,2.7357032627865965,12
llama_3_3_70b_v2_retry2,666,23,1.9742112925630626,1.5579629629629632,15
llama_3_3_70b_v2_retry2,338,21,1.939576712136512,3.3920098089740947,21
llama_3_3_70b_v2_retry2,744,20,1.9319877190267363,4.320555555555556,5
llama_3_3_70b_v2_retry2,375,23,1.9202907387651187,1.4250850340136054,7
llama_3_3_70b_v2_retry2,699,23,1.918104147419715,3.0166666666666666,7
llama_3_3_70b_v2_retry2,675,23,1.917883243442967,1.6273148148148142,6
llama_3_3_70b_v2_retry2,213,23,1.912454701511337,1.9114285714285715,10
llama_3_3_70b_v2_retry2,613,23,1.9038267970911864,0.880625,16
llama_3_3_70b_v2_retry2,210,23,1.899367533038582,0.8719135802469137,9
llama_3_3_70b_v2_retry2,150,17,1.8975340925026845,0.8058333333333334,10
llama_3_3_70b_v2_retry2,617,21,1.8797819156807807,10.076388888888888,6
llama_3_3_70b_v2_retry2,642,22,1.873656665310141,1.6861111111111111,10
llama_3_3_70b_v2_retry2,804,22,1.872016120251424,1.9132986111111108,20
llama_3_3_70b_v2_retry2,643,23,1.8696158293673806,0.8987654320987654,6
llama_3_3_70b_v2_retry2,958,22,1.8545777312249312,1.5769675925925926,12
llama_3_3_70b_v2_retry2,20,20,1.8388832190434257,2.691666666666666,7
llama_3_3_70b_v2_retry2,699,22,1.835924663189145,2.311728395061728,9
llama_3_3_70b_v2_retry2,378,20,1.8334345844753706,5.302291666666666,10
llama_3_3_70b_v2_retry2,212,23,1.8024101540093902,0.6690277777777778,10
