rank,prediction_source,cod_linha,pred_atraso_aproximado_min,real_atraso_aproximado_min,n_registros
1,llama_3_3_70b_v2_retry2,150,2.143986953221344,1.2633333333333332,15
2,llama_3_3_70b_v2_retry2,144,2.131072303705939,0.9572916666666668,24
3,llama_3_3_70b_v2_retry2,260,1.8200676135077414,0.5453282828282827,11
4,llama_3_3_70b_v2_retry2,632,1.6260644613448918,2.738773148148148,24
5,llama_3_3_70b_v2_retry2,265,1.5882602645329023,1.347222222222222,24
6,llama_3_3_70b_v2_retry2,621,1.576068175690671,2.4015538194444446,96
7,llama_3_3_70b_v2_retry2,821,1.5696198505386283,4.6525317460317455,35
8,llama_3_3_70b_v2_retry2,525,1.5317778886467968,6.048379629629629,12
9,llama_3_3_70b_v2_retry2,214,1.464083958729335,1.862755427841635,87
10,llama_3_3_70b_v2_retry2,619,1.4497288653246458,2.4295353022812036,61
11,llama_3_3_70b_v2_retry2,699,1.4318807419366912,3.852324835658169,33
12,llama_3_3_70b_v2_retry2,370,1.4050059833199853,3.084390015015015,37
13,llama_3_3_70b_v2_retry2,354,1.3733591654399395,1.576388888888889,16
14,llama_3_3_70b_v2_retry2,744,1.3668937241463113,1.430621693121693,42
15,llama_3_3_70b_v2_retry2,686,1.3290168393067197,0.7791613041613042,111
16,llama_3_3_70b_v2_retry2,630,1.3254373625854667,3.45326646090535,54
17,llama_3_3_70b_v2_retry2,886,1.3155337154545306,1.8004084967320257,17
18,llama_3_3_70b_v2_retry2,433,1.3036761051091508,4.783937130407719,51
19,llama_3_3_70b_v2_retry2,334,1.2917631623934793,1.356014576986799,99
20,llama_3_3_70b_v2_retry2,881,1.2861742200264044,0.9637994676662901,107
21,llama_3_3_70b_v2_retry2,20,1.2771070905573387,3.8509645061728395,36
22,llama_3_3_70b_v2_retry2,643,1.2694140425072886,1.7165531694159144,60
23,llama_3_3_70b_v2_retry2,344,1.2584956307455173,2.3202819446798753,100
24,llama_3_3_70b_v2_retry2,804,1.243778318150285,0.9659710775708759,160
25,llama_3_3_70b_v2_retry2,636,1.23627348317615,2.155432526484356,82
26,llama_3_3_70b_v2_retry2,152,1.2317478142070117,0.47965686274509794,17
27,llama_3_3_70b_v2_retry2,146,1.226379034004063,0.46728260869565214,23
28,llama_3_3_70b_v2_retry2,206,1.2223253749784584,1.1141327473966363,90
29,llama_3_3_70b_v2_retry2,666,1.2215500351903907,1.0489762509942249,153
30,llama_3_3_70b_v2_retry2,342,1.2166717398232394,4.131118489154716,82
31,llama_3_3_70b_v2_retry2,622,1.2116156376489982,1.16868115942029,115
32,llama_3_3_70b_v2_retry2,378,1.2043912790889417,2.362121174577057,85
33,llama_3_3_70b_v2_retry2,701,1.1964647975651908,1.1459390096618358,46
34,llama_3_3_70b_v2_retry2,870,1.1952306578332847,0.847033787033787,74
35,llama_3_3_70b_v2_retry2,743,1.1922295060296946,1.8409722222222222,38
36,llama_3_3_70b_v2_retry2,122,1.1885445024806587,0.6380982031196316,175
37,llama_3_3_70b_v2_retry2,675,1.1876343913521257,1.81562925170068,98
38,llama_3_3_70b_v2_retry2,642,1.1828538677949174,2.4184756649996375,73
39,llama_3_3_70b_v2_retry2,602,1.1815606758158366,1.1327615315611432,122
40,llama_3_3_70b_v2_retry2,359,1.1792757291452662,1.0258585656484815,119
41,llama_3_3_70b_v2_retry2,353,1.1787475973811783,2.2091750006562196,83
42,llama_3_3_70b_v2_retry2,832,1.167717919663726,0.6443731361177221,201
43,llama_3_3_70b_v2_retry2,338,1.1627825566339984,1.1974662138491927,141
44,llama_3_3_70b_v2_retry2,618,1.1378220197831093,1.0018686456063908,102
45,llama_3_3_70b_v2_retry2,640,1.1241845163879132,2.6000092592592594,90
46,llama_3_3_70b_v2_retry2,18,1.1217938816840025,2.751447951273533,86
47,llama_3_3_70b_v2_retry2,617,1.1191402413003517,2.832271120652268,61
48,llama_3_3_70b_v2_retry2,213,1.0845677188497318,1.2084386175463746,171
49,llama_3_3_70b_v2_retry2,682,1.0715846274037555,1.711367394179894,108
50,llama_3_3_70b_v2_retry2,656,1.0695961325198986,2.4716181657848324,54
51,llama_3_3_70b_v2_retry2,631,1.058549176061186,0.840850526542016,94
52,llama_3_3_70b_v2_retry2,806,1.0575354459592092,1.137369973269096,171
53,llama_3_3_70b_v2_retry2,635,1.0540064800431688,1.6142750515844195,81
54,llama_3_3_70b_v2_retry2,527,1.0424216435588094,11.725111111111111,10
55,llama_3_3_70b_v2_retry2,641,1.033485634335067,1.1989983164983165,110
56,llama_3_3_70b_v2_retry2,626,1.0323140666041608,0.6068021770997961,126
57,llama_3_3_70b_v2_retry2,815,1.0150422362594582,0.5059119736307776,244
58,llama_3_3_70b_v2_retry2,351,1.0114990451861496,2.030395920556177,78
59,llama_3_3_70b_v2_retry2,220,0.999758241501502,0.5909272773082296,210
60,llama_3_3_70b_v2_retry2,628,0.998578334579604,3.131068577814267,58
61,llama_3_3_70b_v2_retry2,501,0.9922967459189043,2.024261720191953,43
62,llama_3_3_70b_v2_retry2,502,0.9834567284920789,2.0205134506632842,106
63,llama_3_3_70b_v2_retry2,108,0.9788578776722061,1.6130199981178241,115
64,llama_3_3_70b_v2_retry2,212,0.9667427394642568,0.5514561911417257,159
65,llama_3_3_70b_v2_retry2,498,0.9621911439235351,1.6049181547619045,88
