rank,prediction_source,cod_veiculo,pred_atraso_aproximado_min,real_atraso_aproximado_min,mean_abs_gap_pred_real,n_registros,n_dias
1,llama_3_3_70b_v2_retry2,9974,1.0424216435588094,11.725111111111111,10.682689467552303,10,1
2,llama_3_3_70b_v2_retry2,3333,0.8019525288493613,8.348875696063196,7.546923167213834,32,1
3,llama_3_3_70b_v2_retry2,7329,0.6224043191071609,6.728217871947394,6.1058135528402335,28,1
4,llama_3_3_70b_v2_retry2,9960,1.5317778886467968,6.048379629629629,4.516601740982832,12,1
5,llama_3_3_70b_v2_retry2,8447,1.1258593064478726,5.409475500806383,4.28361619435851,40,1
6,llama_3_3_70b_v2_retry2,3500,1.419246459611137,5.243154761904762,3.823908302293625,32,1
7,llama_3_3_70b_v2_retry2,2077,0.8357066376275302,4.3636130536130535,3.527906415985523,13,1
8,llama_3_3_70b_v2_retry2,10064,0.9108445644011748,4.328566666666667,3.4177221022654924,25,1
9,llama_3_3_70b_v2_retry2,2247,1.620399922546556,4.974553571428571,3.3541536488820154,28,1
10,llama_3_3_70b_v2_retry2,6362,0.6968433226196245,3.958401216330229,3.261557893710605,60,1
11,llama_3_3_70b_v2_retry2,9745,0.6696169444569815,3.9246579775502046,3.255041033093223,53,1
12,llama_3_3_70b_v2_retry2,11519,1.0217144202212167,4.183992408557626,3.162277988336409,46,1
13,llama_3_3_70b_v2_retry2,3027,0.797450457067352,3.80125816993464,3.003807712867288,17,1
14,llama_3_3_70b_v2_retry2,1407,1.1090312975268586,4.010517961570593,2.9014866640437345,19,1
15,llama_3_3_70b_v2_retry2,3356,1.117999261426433,3.922528414658044,2.804529153231611,54,1
16,llama_3_3_70b_v2_retry2,11574,1.2187605381172282,3.978979365079365,2.7602188269621366,25,1
17,llama_3_3_70b_v2_retry2,8605,0.9880172305756476,3.74596688034188,2.7579496497662324,26,1
18,llama_3_3_70b_v2_retry2,9822,0.5530479081813886,3.282470825698709,2.7294229175173204,47,1
19,llama_3_3_70b_v2_retry2,9658,1.1648189243549374,3.7985485164641175,2.63372959210918,46,1
20,llama_3_3_70b_v2_retry2,9283,1.1511755418251637,3.734883720930232,2.5837081791050682,43,1
21,llama_3_3_70b_v2_retry2,9929,1.2771070905573387,3.85096450617284,2.5738574156155014,36,1
22,llama_3_3_70b_v2_retry2,8478,1.6072725051760095,4.152266666666667,2.5449941614906573,25,1
23,llama_3_3_70b_v2_retry2,7693,0.8454921351118274,3.3153660769892945,2.4698739418774673,66,1
24,llama_3_3_70b_v2_retry2,4292,0.3273656726758104,2.770347067819816,2.4429813951440056,61,1
25,llama_3_3_70b_v2_retry2,11626,0.7574871693640385,3.176262325637325,2.4187751562732864,56,1
26,llama_3_3_70b_v2_retry2,9844,0.6281802228343347,3.04317708862794,2.414996865793605,37,1
27,llama_3_3_70b_v2_retry2,6419,0.7405930265062949,3.155327187693259,2.414734161186964,56,1
28,llama_3_3_70b_v2_retry2,1400,0.960564548633594,3.3325780423280422,2.3720134936944484,25,1
29,llama_3_3_70b_v2_retry2,7052,1.888611278751588,4.195833333333334,2.3072220545817457,10,1
30,llama_3_3_70b_v2_retry2,10376,0.6103726031227241,2.8376110279163616,2.2272384247936374,59,1
31,llama_3_3_70b_v2_retry2,1393,0.8765510991585947,3.052141464773044,2.175590365614449,19,1
32,llama_3_3_70b_v2_retry2,2856,0.955658706980942,3.0470768733850124,2.0914181664040705,43,1
33,llama_3_3_70b_v2_retry2,10198,1.0276000481891396,3.0625880574452,2.03498800925606,35,1
34,llama_3_3_70b_v2_retry2,11578,1.0653391880178398,3.022453703703704,1.957114515685864,12,1
35,llama_3_3_70b_v2_retry2,2522,0.5769240876309111,2.5200544131794134,1.9431303255485024,42,1
36,llama_3_3_70b_v2_retry2,1709,1.0251095795264795,2.9660197994437123,1.9409102199172328,46,1
37,llama_3_3_70b_v2_retry2,7656,1.6741437419917653,3.5995979986197377,1.9254542566279724,23,1
38,llama_3_3_70b_v2_retry2,10220,0.8817697276174479,2.770430822426437,1.888661094808989,24,1
39,llama_3_3_70b_v2_retry2,9632,0.8727187865966115,2.745577777777778,1.8728589911811666,25,1
40,llama_3_3_70b_v2_retry2,3025,0.5442243533641731,2.3413714232523666,1.7971470698881935,42,1
41,llama_3_3_70b_v2_retry2,3114,2.0259294923173585,0.2901891231324656,1.735740369184893,29,1
42,llama_3_3_70b_v2_retry2,10036,0.8274881474468695,2.5321500927643785,1.704661945317509,35,1
43,llama_3_3_70b_v2_retry2,9970,0.88562507880023,2.5638011695906435,1.6781760907904135,19,1
44,llama_3_3_70b_v2_retry2,5195,0.3072604856464464,1.9724489389773,1.6651884533308534,35,1
45,llama_3_3_70b_v2_retry2,9204,0.914368093847082,2.5754594017094017,1.6610913078623197,52,1
46,llama_3_3_70b_v2_retry2,3037,0.8000909979958073,2.449226791726792,1.6491357937309847,33,1
47,llama_3_3_70b_v2_retry2,1929,0.8183445315439566,2.4596923491617195,1.641347817617763,61,1
48,llama_3_3_70b_v2_retry2,2506,0.5127663655426705,2.1270547824688384,1.614288416926168,63,1
49,llama_3_3_70b_v2_retry2,862,1.3031597716093029,2.913635620915033,1.61047584930573,42,1
50,llama_3_3_70b_v2_retry2,1234,0.4733475000863436,2.073105238896906,1.5997577388105622,60,1
51,llama_3_3_70b_v2_retry2,2232,1.256870736717546,2.852383111773103,1.5955123750555569,48,1
52,llama_3_3_70b_v2_retry2,866,1.4682448149644014,3.007605311355311,1.5393604963909098,39,1
53,llama_3_3_70b_v2_retry2,6666,1.4629061131800447,2.980975650307547,1.5180695371275021,58,1
54,llama_3_3_70b_v2_retry2,2982,0.5848438759583651,2.097206352647174,1.5123624766888089,45,1
55,llama_3_3_70b_v2_retry2,7328,0.3002425851168265,1.7817850260301291,1.4815424409133027,37,1
56,llama_3_3_70b_v2_retry2,3842,1.0095257587299074,2.4874565972222222,1.4779308384923149,48,1
57,llama_3_3_70b_v2_retry2,10657,0.4764711059680142,1.951169109151462,1.4746980031834478,50,1
58,llama_3_3_70b_v2_retry2,8634,0.3425113409790306,1.8171566759910005,1.47464533501197,66,1
59,llama_3_3_70b_v2_retry2,11446,0.5586938895718511,2.021423571397898,1.4627296818260467,23,1
60,llama_3_3_70b_v2_retry2,2313,1.1408112769285492,2.571097222222222,1.4302859452936727,20,1
61,llama_3_3_70b_v2_retry2,4182,0.6820236615577058,2.094532239868818,1.4125085783111124,71,1
62,llama_3_3_70b_v2_retry2,2958,1.0695961325198986,2.4716181657848324,1.4020220332649338,54,1
63,llama_3_3_70b_v2_retry2,6012,0.7141815684333428,2.1069951287899995,1.3928135603566567,44,1
64,llama_3_3_70b_v2_retry2,6374,0.4733032646645346,1.8642091826316656,1.390905917967131,62,1
65,llama_3_3_70b_v2_retry2,1389,1.0691538293965108,2.450385802469136,1.381231973072625,18,1
66,llama_3_3_70b_v2_retry2,3348,0.5532916211627936,1.8766234514878188,1.3233318303250252,54,1
67,llama_3_3_70b_v2_retry2,1394,1.3036244594033086,2.6072538880872216,1.303629428683913,33,1
68,llama_3_3_70b_v2_retry2,9853,0.6894641507023357,1.9902913907080573,1.3008272400057215,27,1
69,llama_3_3_70b_v2_retry2,7545,0.6184809548143715,1.911887888364848,1.2934069335504765,41,1
70,llama_3_3_70b_v2_retry2,3357,1.2423674243346754,2.5222290903540903,1.2798616660194149,26,1
71,llama_3_3_70b_v2_retry2,11509,0.3925525092492574,1.659272637085137,1.2667201278358795,24,1
72,llama_3_3_70b_v2_retry2,4256,0.6891140009533288,1.9419300766283525,1.2528160756750237,29,1
73,llama_3_3_70b_v2_retry2,1697,0.6817450835661423,1.931087980949092,1.2493428973829497,27,1
74,llama_3_3_70b_v2_retry2,10254,1.1444938856476523,2.383347505668934,1.2388536200212816,42,1
75,llama_3_3_70b_v2_retry2,9643,0.9394991178952112,2.1611903977664846,1.2216912798712734,46,1
76,llama_3_3_70b_v2_retry2,1087,0.6922243344924595,1.8836942735626947,1.1914699390702352,38,1
77,llama_3_3_70b_v2_retry2,7369,1.1514968841226143,2.324965488453706,1.1734686043310918,60,1
78,llama_3_3_70b_v2_retry2,1985,0.6954473739463276,1.8653434608268464,1.1698960868805188,59,1
79,llama_3_3_70b_v2_retry2,9549,0.5799401636519109,1.7497718253968253,1.1698316617449143,28,1
80,llama_3_3_70b_v2_retry2,10895,2.2662300145638428,1.1108333333333331,1.1553966812305096,20,1
81,llama_3_3_70b_v2_retry2,249,0.7599113649648164,1.891180254930255,1.1312688899654386,44,1
82,llama_3_3_70b_v2_retry2,7054,0.4847002537010044,1.6006428293928294,1.115942575691825,22,1
83,llama_3_3_70b_v2_retry2,3889,0.9636627066663954,2.0713918757467145,1.107729169080319,31,1
84,llama_3_3_70b_v2_retry2,7961,1.73545360632484,2.8370519713261646,1.1015983650013246,31,1
85,llama_3_3_70b_v2_retry2,11592,0.3004465678470266,1.39855129714361,1.0981047292965833,38,1
86,llama_3_3_70b_v2_retry2,10878,1.4803162288145832,0.4003472222222222,1.079969006592361,12,1
87,llama_3_3_70b_v2_retry2,9949,0.430554926890536,1.4989783564231784,1.0684234295326425,31,1
88,llama_3_3_70b_v2_retry2,7957,2.0005935611055907,3.0626666666666664,1.0620731055610757,25,1
89,llama_3_3_70b_v2_retry2,8561,1.2960195802101164,2.353113799283154,1.0570942190730375,31,1
90,llama_3_3_70b_v2_retry2,1460,1.5922558162649998,2.6488770685579195,1.0566212522929197,47,1
91,llama_3_3_70b_v2_retry2,1788,0.815480904791868,1.8675252525252528,1.0520443477333847,33,1
92,llama_3_3_70b_v2_retry2,225,1.7477067968840996,0.6998225308641977,1.047884266019902,54,1
93,llama_3_3_70b_v2_retry2,9499,1.4300718524448188,2.4754487179487183,1.0453768655038995,26,1
94,llama_3_3_70b_v2_retry2,3191,0.6936124289155773,1.7367133989098211,1.043100969994244,51,1
95,llama_3_3_70b_v2_retry2,1706,0.9922967459189044,2.024261720191953,1.0319649742730483,43,1
96,llama_3_3_70b_v2_retry2,9836,0.2791484449109453,1.3028699906736532,1.0237215457627078,39,1
97,llama_3_3_70b_v2_retry2,9387,0.5503016064261737,1.5473157270571063,0.9970141206309326,29,1
98,llama_3_3_70b_v2_retry2,2086,0.8461255957451169,1.8206792717086837,0.9745536759635668,35,1
99,llama_3_3_70b_v2_retry2,11484,0.3712516414512113,1.335315911621059,0.9640642701698476,26,1
