cod_linha,cod_veiculo,janela_5min,headway_observado_min,headway_referencia_min,atraso_aproximado_min,event_dt
618,1394,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
31,4334,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
821,10064,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
80,2762,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
675,8632,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
31,4334,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
821,10064,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
80,2762,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
675,8632,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
74,8596,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
206,7657,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
80,2762,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
675,8632,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
74,8596,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
206,7657,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
31,4334,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
641,2247,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
74,8596,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
41,10377,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
31,4334,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
101,11572,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
74,8596,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
41,10377,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
797,8564,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
112,11570,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
28,4074,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
41,10377,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
797,8564,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
821,8478,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
28,4074,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
41,10377,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
797,8564,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
821,8478,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
28,4074,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
355,2300,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
797,8564,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
821,8478,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
102,7060,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
355,2300,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
646,8480,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
618,11573,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
32,2305,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
355,2300,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
646,8480,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
618,11573,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
86,3064,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
74,8574,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
646,8480,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
618,11573,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
86,3064,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
74,8574,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
646,8480,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
618,1410,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
478,7959,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
646,8480,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
336,2311,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
618,1410,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
478,7959,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
646,8480,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
336,2311,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
618,1410,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
478,7959,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
646,8480,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
336,2311,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
618,1410,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
32,8593,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
646,8480,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
336,2311,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
32,8593,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
32,8593,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
635,2085,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
82,11560,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
433,3500,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
74,8590,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
635,2085,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
650,10731,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
433,3500,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
74,8590,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
635,2085,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
650,10731,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
433,3500,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
74,8590,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
26,10403,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
650,10731,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
632,2312,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
74,8590,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
26,10403,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
645,1408,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
632,2312,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
74,8590,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
26,10403,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
645,1408,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
28,10768,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
74,8590,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
112,11570,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
432,2248,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
28,10768,2023-03-01T11:15:00.000-03:00,,,,2023-03-01
79,4132,2023-03-01T05:45:00.000-03:00,,,,2023-03-01
112,11570,2023-03-01T11:20:00.000-03:00,,,,2023-03-01
432,2248,2023-03-01T05:40:00.000-03:00,,,,2023-03-01
